Generated from SelSteering2DScan.iob
number of ions = 1
Bender = 920V
SEL focus = -1870V
Ypos,Zpos,Sel_x,Sel_z,IonPosition
31.533333333333, 33.133333333333, -45, -45, 17.723410295903
31.533333333333, 33.133333333333, -45, -39, 17.88836514895
31.533333333333, 33.133333333333, -45, -33, 17.583573798881
31.533333333333, 33.133333333333, -45, -27, 17.866511272285
31.533333333333, 33.133333333333, -45, -21, 17.70973499918
31.533333333333, 33.133333333333, -45, -15, 17.63337023532
31.533333333333, 33.133333333333, -45, -9, 17.636399190207
31.533333333333, 33.133333333333, -45, -3, 17.716865432464
31.533333333333, 33.133333333333, -45, 3, 17.872400759037
31.533333333333, 33.133333333333, -45, 9, 17.583337691851
31.533333333333, 33.133333333333, -45, 15, 17.867853263119
31.533333333333, 33.133333333333, -45, 21, 17.674871605502
31.533333333333, 33.133333333333, -45, 27, 17.511371634629
31.533333333333, 33.133333333333, -45, 33, 17.941758724278
31.533333333333, 33.133333333333, -45, 39, 17.82642919893
31.533333333333, 33.133333333333, -45, 45, 17.711075519643
31.533333333333, 33.133333333333, -39, -45, 17.540096724606
31.533333333333, 33.133333333333, -39, -39, 17.789770037364
31.533333333333, 33.133333333333, -39, -33, 17.65010314647
31.533333333333, 33.133333333333, -39, -27, 17.473795009036
31.533333333333, 33.133333333333, -39, -21, 17.713497376384
31.533333333333, 33.133333333333, -39, -15, 17.630922311968
31.533333333333, 33.133333333333, -39, -9, 17.645113303238
31.533333333333, 33.133333333333, -39, -3, 17.753246719232
31.533333333333, 33.133333333333, -39, 3, 17.440779436385
31.533333333333, 33.133333333333, -39, 9, 17.714592229032
31.533333333333, 33.133333333333, -39, 15, 17.530711840602
31.533333333333, 33.133333333333, -39, 21, 17.388180314583
31.533333333333, 33.133333333333, -39, 27, 17.84569302251
31.533333333333, 33.133333333333, -39, 33, 17.771876785988
31.533333333333, 33.133333333333, -39, 39, 17.704846202512
31.533333333333, 33.133333333333, -39, 45, 17.632356118605
31.533333333333, 33.133333333333, -33, -45, 17.596119292021
31.533333333333, 33.133333333333, -33, -39, 17.6308986423
31.533333333333, 33.133333333333, -33, -33, 17.738600777301
31.533333333333, 33.133333333333, -33, -27, 17.417011759862
31.533333333333, 33.133333333333, -33, -21, 17.71830698984
31.533333333333, 33.133333333333, -33, -15, 17.628509014968
31.533333333333, 33.133333333333, -33, -9, 17.659072292125
31.533333333333, 33.133333333333, -33, -3, 17.805752980859
31.533333333333, 33.133333333333, -33, 3, 17.548070570935
31.533333333333, 33.133333333333, -33, 9, 17.895614972363
31.533333333333, 33.133333333333, -33, 15, 17.79002212792
31.533333333333, 33.133333333333, -33, 21, 17.731300756958
31.533333333333, 33.133333333333, -33, 27, 17.704567625048
31.533333333333, 33.133333333333, -33, 33, 17.694508095839
31.533333333333, 33.133333333333, -33, 39, 17.685333346238
31.533333333333, 33.133333333333, -33, 45, 17.663080792716
31.533333333333, 33.133333333333, -27, -45, 17.926343347781
31.533333333333, 33.133333333333, -27, -39, 17.846320713769
31.533333333333, 33.133333333333, -27, -33, 17.858556737359
31.533333333333, 33.133333333333, -27, -27, 17.463741416159
31.533333333333, 33.133333333333, -27, -21, 17.724455601101
31.533333333333, 33.133333333333, -27, -15, 17.6263846114
31.533333333333, 33.133333333333, -27, -9, 17.681586998163
31.533333333333, 33.133333333333, -27, -3, 17.720207542114
31.533333333333, 33.133333333333, -27, 3, 17.702660167665
31.533333333333, 33.133333333333, -27, 9, 17.613795826782
31.533333333333, 33.133333333333, -27, 15, 17.592933089751
31.533333333333, 33.133333333333, -27, 21, 17.620892814677
31.533333333333, 33.133333333333, -27, 27, 17.678766760331
31.533333333333, 33.133333333333, -27, 33, 17.747501855062
31.533333333333, 33.133333333333, -27, 39, 17.808217396657
31.533333333333, 33.133333333333, -27, 45, 17.811724944642
31.533333333333, 33.133333333333, -21, -45, 17.791368123156
31.533333333333, 33.133333333333, -21, -39, 17.584257846299
31.533333333333, 33.133333333333, -21, -33, 17.679266801531
31.533333333333, 33.133333333333, -21, -27, 17.528625266311
31.533333333333, 33.133333333333, -21, -21, 17.732651073275
31.533333333333, 33.133333333333, -21, -15, 17.625078964107
31.533333333333, 33.133333333333, -21, -9, 17.71867471589
31.533333333333, 33.133333333333, -21, -3, 17.489859446572
31.533333333333, 33.133333333333, -21, 3, 17.933040385623
31.533333333333, 33.133333333333, -21, 9, 17.421838241683
31.533333333333, 33.133333333333, -21, 15, 17.683897956184
31.533333333333, 33.133333333333, -21, 21, 17.656087067288
31.533333333333, 33.133333333333, -21, 27, 17.822467228429
31.533333333333, 33.133333333333, -21, 33, 17.787527332602
31.533333333333, 33.133333333333, -21, 39, 17.500252151697
31.533333333333, 33.133333333333, -21, 45, 17.465456293244
31.533333333333, 33.133333333333, -15, -45, 17.830124984817
31.533333333333, 33.133333333333, -15, -39, 17.932214062733
31.533333333333, 33.133333333333, -15, -33, 17.730767654212
31.533333333333, 33.133333333333, -15, -27, 17.623859157333
31.533333333333, 33.133333333333, -15, -21, 17.744102899026
31.533333333333, 33.133333333333, -15, -15, 17.625828783881
31.533333333333, 33.133333333333, -15, -9, 17.782074208521
31.533333333333, 33.133333333333, -15, -3, 17.673974533698
31.533333333333, 33.133333333333, -15, 3, 17.747936368223
31.533333333333, 33.133333333333, -15, 9, 17.9497799613
31.533333333333, 33.133333333333, -15, 15, 17.624054249265
31.533333333333, 33.133333333333, -15, 21, 17.918337508778
31.533333333333, 33.133333333333, -15, 27, 17.52511168592
31.533333333333, 33.133333333333, -15, 33, 17.767198587272
31.533333333333, 33.133333333333, -15, 39, 17.610625549184
31.533333333333, 33.133333333333, -15, 45, 17.567279550971
31.533333333333, 33.133333333333, -9, -45, 17.752014902439
31.533333333333, 33.133333333333, -9, -39, 17.855035600136
31.533333333333, 33.133333333333, -9, -33, 17.553243586293
31.533333333333, 33.133333333333, -9, -27, 17.774554242538
31.533333333333, 33.133333333333, -9, -21, 17.761189331275
31.533333333333, 33.133333333333, -9, -15, 17.631639112008
31.533333333333, 33.133333333333, -9, -9, 17.387990711854
31.533333333333, 33.133333333333, -9, -3, 17.971155106089
31.533333333333, 33.133333333333, -9, 3, 17.751243263142
31.533333333333, 33.133333333333, -9, 9, 17.647089231441
31.533333333333, 33.133333333333, -9, 15, 17.9254741771
31.533333333333, 33.133333333333, -9, 21, 17.816029661258
31.533333333333, 33.133333333333, -9, 27, 17.499433059135
31.533333333333, 33.133333333333, -9, 33, 17.744689068642
31.533333333333, 33.133333333333, -9, 39, 17.674239982634
31.533333333333, 33.133333333333, -9, 45, 17.726359585057
31.533333333333, 33.133333333333, -3, -45, 17.617381210532
31.533333333333, 33.133333333333, -3, -39, 17.964389640129
31.533333333333, 33.133333333333, -3, -33, 17.62044160917
31.533333333333, 33.133333333333, -3, -27, 17.500380332719
31.533333333333, 33.133333333333, -3, -21, 16.986388184536
31.533333333333, 33.133333333333, -3, -15, 17.049186825084
31.533333333333, 33.133333333333, -3, -9, 17.60868056649
31.533333333333, 33.133333333333, -3, -3, 17.467275972123
31.533333333333, 33.133333333333, -3, 3, 17.79448316457
31.533333333333, 33.133333333333, -3, 9, 17.602696137498
31.533333333333, 33.133333333333, -3, 15, 17.593138766899
31.533333333333, 33.133333333333, -3, 21, 17.427633390294
31.533333333333, 33.133333333333, -3, 27, 17.744200163527
31.533333333333, 33.133333333333, -3, 33, 17.6674601149
31.533333333333, 33.133333333333, -3, 39, 17.729262936538
31.533333333333, 33.133333333333, -3, 45, 17.613431048838
31.533333333333, 33.133333333333, 3, -45, 17.779461955151
31.533333333333, 33.133333333333, 3, -39, 17.057555305298
31.533333333333, 33.133333333333, 3, -33, 15.266679398535
31.533333333333, 33.133333333333, 3, -27, 13.259910198485
31.533333333333, 33.133333333333, 3, -21, 12.695391953466
31.533333333333, 33.133333333333, 3, -15, 12.814524281452
31.533333333333, 33.133333333333, 3, -9, 13.607320005292
31.533333333333, 33.133333333333, 3, -3, 15.810686901856
31.533333333333, 33.133333333333, 3, 3, 17.740656645548
31.533333333333, 33.133333333333, 3, 9, 17.646852219381
31.533333333333, 33.133333333333, 3, 15, 17.781742390366
31.533333333333, 33.133333333333, 3, 21, 17.605688151016
31.533333333333, 33.133333333333, 3, 27, 17.519341249892
31.533333333333, 33.133333333333, 3, 33, 17.621055402242
31.533333333333, 33.133333333333, 3, 39, 17.818694125736
31.533333333333, 33.133333333333, 3, 45, 17.556309350177
31.533333333333, 33.133333333333, 9, -45, 16.824567090093
31.533333333333, 33.133333333333, 9, -39, 13.507750242308
31.533333333333, 33.133333333333, 9, -33, 11.505654570659
31.533333333333, 33.133333333333, 9, -27, 10.019910547355
31.533333333333, 33.133333333333, 9, -21, 9.300158937101
31.533333333333, 33.133333333333, 9, -15, 9.5175584052821
31.533333333333, 33.133333333333, 9, -9, 10.617855366814
31.533333333333, 33.133333333333, 9, -3, 12.368812412577
31.533333333333, 33.133333333333, 9, 3, 15.393456069182
31.533333333333, 33.133333333333, 9, 9, 17.88502748509
31.533333333333, 33.133333333333, 9, 15, 17.698188811743
31.533333333333, 33.133333333333, 9, 21, 17.743230058669
31.533333333333, 33.133333333333, 9, 27, 17.922561450527
31.533333333333, 33.133333333333, 9, 33, 17.6704770599
31.533333333333, 33.133333333333, 9, 39, 17.784157037929
31.533333333333, 33.133333333333, 9, 45, 17.846651325311
31.533333333333, 33.133333333333, 15, -45, 14.963890432234
31.533333333333, 33.133333333333, 15, -39, 11.386929090975
31.533333333333, 33.133333333333, 15, -33, 8.936365209758
31.533333333333, 33.133333333333, 15, -27, 6.9582887046971
31.533333333333, 33.133333333333, 15, -21, 5.9353174076689
31.533333333333, 33.133333333333, 15, -15, 6.344460164991
31.533333333333, 33.133333333333, 15, -9, 7.972748890111
31.533333333333, 33.133333333333, 15, -3, 10.256341469408
31.533333333333, 33.133333333333, 15, 3, 12.856085263474
31.533333333333, 33.133333333333, 15, 9, 16.578984364288
31.533333333333, 33.133333333333, 15, 15, 17.793020272248
31.533333333333, 33.133333333333, 15, 21, 17.61016029069
31.533333333333, 33.133333333333, 15, 27, 17.480831797643
31.533333333333, 33.133333333333, 15, 33, 17.886466492337
31.533333333333, 33.133333333333, 15, 39, 17.813199068949
31.533333333333, 33.133333333333, 15, 45, 17.755656833001
31.533333333333, 33.133333333333, 21, -45, 12.936302965268
31.533333333333, 33.133333333333, 21, -39, 9.9778592286063
31.533333333333, 33.133333333333, 21, -33, 7.0850357480577
31.533333333333, 33.133333333333, 21, -27, 4.3943348198374
31.533333333333, 33.133333333333, 21, -21, 2.6216220360007
31.533333333333, 33.133333333333, 21, -15, 3.5908365507644
31.533333333333, 33.133333333333, 21, -9, 6.1140767884856
31.533333333333, 33.133333333333, 21, -3, 8.9660316648922
31.533333333333, 33.133333333333, 21, 3, 11.91613701628
31.533333333333, 33.133333333333, 21, 9, 15.861100747455
31.533333333333, 33.133333333333, 21, 15, 17.847328966889
31.533333333333, 33.133333333333, 21, 21, 17.844007072331
31.533333333333, 33.133333333333, 21, 27, 17.840002056813
31.533333333333, 33.133333333333, 21, 33, 17.836356142666
31.533333333333, 33.133333333333, 21, 39, 17.833269544593
31.533333333333, 33.133333333333, 21, 45, 17.830519811189
31.533333333333, 33.133333333333, 27, -45, 12.620557828155
31.533333333333, 33.133333333333, 27, -39, 9.5766563742107
31.533333333333, 33.133333333333, 27, -33, 6.5376965429259
