Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
32.5,37.5,0.23443378054285,24.75,20.25
32.5,37.75,0.55393125982018,27.0,22.5
32.5,38.0,0.5645791969383,27.0,22.5
32.75,31.75,0.76585904241543,22.5,-29.25
32.75,32.0,0.35074154978336,20.25,-31.5
32.75,32.25,0.67506439428117,20.25,-27.0
32.75,32.5,0.26612822050057,18.0,-22.5
32.75,32.75,0.22094749810482,15.75,-18.0
32.75,33.0,0.56342410931901,15.75,-13.5
32.75,33.25,0.50753141349409,13.5,-9.0
32.75,33.5,0.50850083745556,13.5,-6.75
32.75,33.75,0.54196531554034,11.25,-4.5
32.75,34.0,0.38553300099718,11.25,-4.5
32.75,34.25,0.36640457847602,11.25,-2.25
32.75,34.5,0.41155661824206,11.25,-2.25
32.75,34.75,0.59297992999425,11.25,-2.25
32.75,35.0,0.77073295752585,11.25,-2.25
32.75,35.25,0.7362254908551,11.25,0.0
32.75,35.5,0.43916797106391,11.25,0.0
32.75,35.75,0.11063432820138,11.25,0.0
32.75,36.0,0.61438430388841,11.25,2.25
32.75,36.25,0.56673854776556,13.5,2.25
32.75,36.5,0.180837609329,13.5,4.5
32.75,36.75,0.51825013816682,15.75,6.75
32.75,37.0,0.61629868040443,15.75,11.25
32.75,37.25,0.60856108753231,18.0,13.5
32.75,37.5,0.64114816758636,20.25,18.0
32.75,37.75,0.44388513827843,22.5,22.5
32.75,38.0,0.25924970020968,24.75,24.75
32.75,38.25,0.62582624823016,27.0,20.25
33.0,31.75,0.50492625149747,18.0,-31.5
33.0,32.0,0.57221180596588,18.0,-31.5
33.0,32.25,0.37489709222731,15.75,-24.75
33.0,32.5,0.55059798334088,13.5,-20.25
33.0,32.75,0.34123976141585,13.5,-15.75
33.0,33.0,0.47418123602436,11.25,-11.25
33.0,33.25,0.49842063435041,11.25,-9.0
33.0,33.5,0.67066595141437,11.25,-6.75
33.0,33.75,0.5278206462731,9.0,-4.5
33.0,34.0,0.29942502132588,9.0,-2.25
33.0,34.25,0.22819030941298,9.0,-2.25
33.0,34.5,0.53218595290512,9.0,-2.25
33.0,34.75,0.69887881748378,9.0,-2.25
33.0,35.0,0.78461211509279,9.0,0.0
33.0,35.25,0.66220097227907,9.0,0.0
33.0,35.5,0.4608567572693,9.0,0.0
33.0,35.75,0.11541153648361,9.0,0.0
33.0,36.0,0.47018088175057,9.0,0.0
33.0,36.25,0.57348244226127,11.25,2.25
33.0,36.5,0.43574443105375,11.25,4.5
33.0,36.75,0.68189260540585,13.5,6.75
33.0,37.0,0.21776409591917,13.5,9.0
33.0,37.25,0.34724615212313,15.75,13.5
33.0,37.5,0.45667462464818,18.0,18.0
33.0,37.75,0.42283932116188,20.25,22.5
33.0,38.0,0.56370724182221,22.5,24.75
33.0,38.25,0.79337920327092,24.75,24.75
33.25,31.5,0.7454723755891,18.0,-29.25
33.25,31.75,0.32025338254851,15.75,-31.5
33.25,32.0,0.77331518348131,13.5,-29.25
33.25,32.25,0.37292471771791,13.5,-22.5
33.25,32.5,0.23706995050364,11.25,-18.0
33.25,32.75,0.46842798911268,11.25,-13.5
33.25,33.0,0.49131169390265,9.0,-9.0
33.25,33.25,0.081434688749148,9.0,-6.75
33.25,33.5,0.31362287415593,9.0,-4.5
33.25,33.75,0.61149419293258,6.75,-2.25
33.25,34.0,0.25204065513628,6.75,-2.25
33.25,34.25,0.54859488772785,6.75,-2.25
33.25,34.5,0.5848808593144,6.75,0.0
33.25,34.75,0.5599838921113,6.75,0.0
33.25,35.0,0.59550355006919,6.75,0.0
33.25,35.25,0.54983424609183,6.75,0.0
33.25,35.5,0.43893880482168,6.75,0.0
33.25,35.75,0.21740565643455,6.75,0.0
33.25,36.0,0.30915569984202,6.75,0.0
33.25,36.25,0.74436783361299,9.0,2.25
33.25,36.5,0.4013347995849,9.0,2.25
33.25,36.75,0.70066270397291,11.25,4.5
33.25,37.0,0.5959335170229,11.25,9.0
33.25,37.25,0.48187379720435,13.5,11.25
33.25,37.5,0.51046939709708,13.5,15.75
33.25,37.75,0.46618109899989,15.75,20.25
33.25,38.0,0.51396752655786,18.0,24.75
33.25,38.25,0.24306139202894,20.25,27.0
33.25,38.5,0.59545240068435,22.5,22.5
33.5,31.5,0.57438045270347,13.5,-33.75
33.5,31.75,0.19549486953868,13.5,-31.5
33.5,32.0,0.38927934804561,11.25,-27.0
33.5,32.25,0.64223692190999,11.25,-20.25
33.5,32.5,0.21260007225248,9.0,-15.75
33.5,32.75,0.3234552082393,9.0,-11.25
33.5,33.0,0.72692146419109,9.0,-9.0
33.5,33.25,0.6679567812839,6.75,-4.5
33.5,33.5,0.53759183687339,6.75,-4.5
33.5,33.75,0.29057408857974,6.75,-2.25
33.5,34.0,0.78616210862151,6.75,-2.25
33.5,34.25,0.68091222739929,4.5,0.0
33.5,34.5,0.53905285664241,4.5,0.0
33.5,34.75,0.50366642355463,4.5,0.0
33.5,35.0,0.51101087781937,4.5,0.0
33.5,35.25,0.59621784226703,4.5,0.0
33.5,35.5,0.62286039128462,4.5,0.0
33.5,35.75,0.65442373676994,4.5,0.0
33.5,36.0,0.49262169519377,6.75,0.0
33.5,36.25,0.46625800242749,6.75,0.0
33.5,36.5,0.37683357711963,6.75,2.25
33.5,36.75,0.39997182809793,9.0,4.5
33.5,37.0,0.2298313523185,9.0,6.75
33.5,37.25,0.66798383041,11.25,11.25
33.5,37.5,0.65449658414425,11.25,13.5
