Generated from SelSteeringTester.iob
number of ions = 1
Bender = 920V
SEL focus = -1870V
Ypos,Zpos,Sel_x,Sel_z,IonSplatPos, IonCollectorPos
31, 35, 43.012634999701, -3.0129092885181, 17.898310784859
31.25, 33.75, 38.324762458913, -16.147346525919, 8.9862259870353
31.25, 34, 37.434968801215, -13.081920299213, 4.479319850046
31.25, 34.25, 36.82842874527, -10.243330846075, 3.1951612459643
31.25, 34.5, 36.504902003333, -7.5859476705082, 2.441962983123
31.25, 34.75, 36.464148296509, -5.0641402662732, 2.2762382098389, 2.2497583981429
31.25, 35, 36.705927342176, -2.6322781224735, 2.3017057144566, 2.2767250975163
31.25, 35.25, 37.229998856783, -0.24473075056449, 2.3882679791269, 2.363439042789
31.25, 35.5, 38.036122558173, 2.1441323603503, 2.6407725170822
31.25, 35.75, 39.124058163725, 4.5799417044036, 3.4396217839607
31.25, 36, 40.493565389886, 7.1083277943544, 4.6708749524051
31.25, 36.25, 42.144403955434, 9.774921126198, 8.5967391591848
31.5, 33.25, 35.304577438394, -20.783262112644, 4.7253194872069
31.5, 33.5, 33.926881661173, -17.409369494766, 2.5397704277932
31.5, 33.75, 32.813067424344, -14.358586563263, 1.7103751126242, 1.6936304450795
31.5, 34, 31.963679565699, -11.583763455972, 1.2428599382769, 1.2360916715532
31.5, 34.25, 31.379262913368, -9.0377503046766, 1.0682838232908, 1.0659122701634
31.5, 34.5, 31.06036230654, -6.6733972546645, 1.0345512264035, 1.0350307803003
31.5, 34.75, 31.00752257742, -4.4435544251464, 1.01417320106, 1.0157056199873
31.5, 35, 31.221288561122, -2.3010719441809, 1.1622897283696, 1.1629520573587
31.5, 35.25, 31.702205092297, -0.19879996357486, 1.1950297096483, 1.1952519545749
31.5, 35.5, 32.450816999888, 1.9104114025831, 1.3594940135742, 1.35775714472
31.5, 35.75, 33.467669121339, 4.0737120141275, 1.5538502540693, 1.5480798039673
31.5, 36, 34.753306292114, 6.3382517364807, 1.8192660462575, 1.8085974071709
31.5, 36.25, 36.308273342904, 8.7511804327369, 2.3547408130349, 2.3332782048078
31.5, 36.5, 38.133115111617, 11.359647986945, 3.1357939526252
31.5, 36.75, 40.22837642883, 14.210804251488, 5.0879737959276
31.75, 32.75, 33.68523755495, -25.992112092674, 5.0194232722969
31.75, 33, 31.911331792129, -22.083919285331, 2.4390160185874
31.75, 33.25, 30.378417014261, -18.599840717856, 1.6436908136844, 1.6286724742101
31.75, 33.5, 29.087746193632, -15.491415417753, 1.2838614415976, 1.2773863300553
31.75, 33.75, 28.040572298691, -12.710182371549, 0.99942062653741, 0.99878630223093
31.75, 34, 27.238148302189, -10.207680589054, 0.93821557118694, 0.94041719509368
31.75, 34.25, 26.681727180374, -7.9354490768164, 0.79277611893559, 0.79754008978174
31.75, 34.5, 26.372561898432, -5.8450268413872, 0.82604980697646, 0.83122547491762
31.75, 34.75, 26.311905429699, -3.8879528921098, 0.87906174541569, 0.88344553003723
31.75, 35, 26.501010749373, -2.0157662197016, 1.0824366524578, 1.08450019724
31.75, 35.25, 26.941130825551, -0.18000584794208, 1.1372670170596, 1.1383803043109
31.75, 35.5, 27.633518628543, 1.6677892333828, 1.2715905447913, 1.2717628330677
31.75, 35.75, 28.579427133664, 3.5760800023563, 1.3899907746919, 1.3890560311569
